,attribution,count
protester,-0.055184297467590765,6
50,-0.040790236773136056,1
education,0.16804133529327098,1
white,0.06300965234009172,5
found,-0.095202060900556,2
disadvantage,-0.05495684194575972,1
incoherent,0.20465775443141584,1
Amendment,-0.072997445911106,1
neutrality,0.07223639840276475,1
seriously,0.06530084918370314,1
Christian,0.031009902156005038,3
revolution,0.015489048663107387,1
divisive,0.015425672863282596,1
bring,0.012829250063761325,1
offer,0.005053216349290436,2
often,0.004878563933325836,2
high,0.04905337679238754,1
stunt,0.2501173565669436,2
broken,-0.15446081019336408,1
Dr,-0.12144116467885906,1
Department,-0.008439627117332406,2
video,-0.08672724883937168,1
apologize,-0.21588329058301878,1
user,-0.21364009012946258,1
privilege,0.15254369535207693,1
ACA,0.052765068400479766,1
cripple,0.05039327248516497,1
warpath,0.04590857471151649,1
obscure,0.041979580200423756,1
drastic,0.13793951816771194,1
plan,0.009479074429217147,4
untrammeled,0.5175429766069033,1
Muslim,0.11068708870229646,1
U,-0.004790416274071646,2
reading,-0.0936294223358127,1
entrance,0.06773167404510909,1
womb,0.11761213241850314,1
act,-0.027574957719768638,2
evangelicals,0.0740714084324557,1
they,0.021579682557059846,6
Big,0.07398744583943397,2
On,-0.029887013943748198,3
Foreign,0.05446904218050939,1
Using,0.05031256966176073,1
ignorant,0.043152196434935265,3
inept,0.0495424853444739,1
spit,0.04499728756461861,1
response,0.02921987200893957,1
debt,-0.07182051525088964,1
toll,-0.04794533694810124,1
flagrantly,0.28662781858403485,2
law,-0.0010023362166706531,4
clearly,0.07536239329171139,2
pitfall,0.06385321888315278,1
Chimerica,-0.05129974699830328,1
our,0.033514424660374985,4
lead,-0.18509406885559093,4
obsession,0.2047905101844166,1
NRA,0.07028346849349855,1
unready,0.10378552176284714,1
euro,0.047948615224515725,1
time,0.045603654930262735,1
statist,0.1257130205826354,1
mentality,0.05502296611469919,1
Health,-0.021856760311646125,1
hopeful,-0.07040948524610413,1
hopefully,0.05364711583421688,1
news,0.010250927574641782,1
lie,0.07702135973605395,4
dandy,0.205703804012286,1
disarray,0.05008045479577082,1
unwelcome,0.03511166295814351,1
Obviously,0.046280924463873274,1
gang,0.03393898667678575,1
number,-0.08690759368243518,2
waver,-0.2318715530947016,1
present,-0.16117395798406856,1
Many,-0.1417857320268319,1
middle,0.07407314737853159,1
young,-0.0360592262508751,1
industry,0.08390459432309362,2
tech,0.04090841528924164,1
diarrhea,0.2948971456886755,1
uglier,0.1459834846928273,1
Kranish,0.08084270514016015,1
Washington,-0.05836867704408362,1
leader,-0.05605784473298355,3
brag,0.2765352516969847,2
demonize,0.0655057708221987,1
Democracy,0.07088118017181158,1
indifferent,0.06704446973312136,1
probably,0.046284934198516946,1
cannot,0.04465190587745338,1
fate,0.0186738093285864,1
squeeze,0.03635645971314314,1
chaos,0.02540993034110672,2
guzzle,0.2602088125620021,1
activist,-0.06027108749670904,5
private,-0.10254470986111419,3
shutdown,0.2982454627994147,1
far,0.023012071439058965,6
TV,0.11883904394698352,1
